,Quarter,Quarter Label,Flow Label,"""Growth rate","""Growth rate.1",Growth rate (over previous period),Volume Index (2005=100)
0,2005,Q1,Imports,,,100.0,100.0
1,2005,Q1,Exports,,,100.0,100.0
2,2005,Q2,Imports,,7.67535,107.6753,102.842
3,2005,Q2,Exports,,7.72633,107.7263,103.197
4,2005,Q3,Imports,,-0.56606,107.0658,104.027
5,2005,Q3,Exports,,-0.5742,107.1078,104.769
6,2005,Q4,Imports,,5.7109,113.1803,107.705
7,2005,Q4,Exports,,6.10136,113.6428,108.284
8,2006,Q1,Imports,11.37269,-1.59708,111.3727,110.228
9,2006,Q1,Exports,12.54395,-0.96693,112.544,111.364
10,2006,Q2,Imports,8.14595,4.55573,116.4465,112.047
11,2006,Q2,Exports,8.59527,3.94668,116.9857,113.16
12,2006,Q3,Imports,7.90818,-0.78467,115.5328,112.514
13,2006,Q3,Exports,8.50075,-0.66074,116.2127,114.018
14,2006,Q4,Imports,7.05601,4.87607,121.1663,115.606
15,2006,Q4,Exports,7.4641,5.08763,122.1252,117.13
16,2007,Q1,Imports,6.70135,-1.92306,118.8362,118.022
17,2007,Q1,Exports,6.15215,-2.17595,119.4678,118.44
18,2007,Q2,Imports,5.85394,3.72536,123.2632,118.947
19,2007,Q2,Exports,5.77689,3.57922,123.7438,119.788
20,2007,Q3,Imports,6.85851,0.15689,123.4566,120.135
21,2007,Q3,Exports,6.52288,0.03985,123.7931,121.676
22,2007,Q4,Imports,5.97155,4.00557,128.4018,121.557
23,2007,Q4,Exports,6.24904,4.81748,129.7569,123.559
24,2008,Q1,Imports,4.25144,-3.51503,123.8884,123.813
25,2008,Q1,Exports,5.33057,-3.02159,125.8361,125.625
26,2008,Q2,Imports,4.44067,3.91364,128.737,123.51
27,2008,Q2,Exports,5.5522,3.79717,130.6143,125.519
28,2008,Q3,Imports,4.47333,0.18821,128.9793,123.8
29,2008,Q3,Exports,4.77056,-0.70098,129.6988,125.079
30,2008,Q4,Imports,-3.92652,-4.35667,123.3601,115.917
31,2008,Q4,Exports,-7.21122,-7.16966,120.3998,114.111
32,2009,Q1,Imports,-16.77494,-16.41848,103.1062,103.843
33,2009,Q1,Exports,-18.33844,-14.65123,102.7597,103.398
34,2009,Q2,Imports,-17.78511,2.65236,105.841,102.119
35,2009,Q2,Exports,-18.44679,3.65946,106.5202,103.236
36,2009,Q3,Imports,-13.56414,5.33194,111.4843,106.022
37,2009,Q3,Exports,-13.68395,5.09825,111.9509,108.119
38,2009,Q4,Imports,-4.48332,5.69148,117.8294,110.983
39,2009,Q4,Exports,-0.86827,6.61322,119.3544,113.306
40,2010,Q1,Imports,12.08979,-1.91625,115.5715,115.796
41,2010,Q1,Exports,14.00947,-1.84205,117.1558,117.372
42,2010,Q2,Imports,18.13771,8.19107,125.0381,120.247
43,2010,Q2,Exports,18.56863,7.80472,126.2995,121.688
44,2010,Q3,Imports,14.68954,2.25754,127.8609,122.044
45,2010,Q3,Exports,13.69174,0.77541,127.2789,123.025
46,2010,Q4,Imports,11.80876,3.03672,131.7436,124.871
47,2010,Q4,Exports,11.62375,4.67398,133.2279,126.826
48,2011,Q1,Imports,10.1652,-3.35805,127.3196,126.173
49,2011,Q1,Exports,9.81252,-3.43478,128.6518,128.046
50,2011,Q2,Imports,5.39393,3.5053,131.7826,126.604
51,2011,Q2,Exports,5.83824,3.90311,133.6732,128.698
52,2011,Q3,Imports,4.75295,1.63563,133.938,128.863
53,2011,Q3,Exports,5.76169,0.70252,134.6123,130.764
54,2011,Q4,Imports,2.64368,0.962,135.2265,128.796
55,2011,Q4,Exports,2.34092,1.2884,136.3466,130.525
56,2012,Q1,Imports,2.67858,-3.32519,130.73,128.649
57,2012,Q1,Exports,3.05394,-2.76201,132.5807,130.993
58,2012,Q2,Imports,2.69864,3.52553,135.3389,130.527
59,2012,Q2,Exports,3.13099,3.9808,137.8585,132.973
60,2012,Q3,Imports,0.67751,-0.36458,134.8455,130.439
61,2012,Q3,Exports,0.59138,-1.77729,135.4084,132.62
62,2012,Q4,Imports,1.59375,1.88082,137.3817,130.017
63,2012,Q4,Exports,1.3582,2.06053,138.1985,131.976
64,2013,Q1,Imports,0.87173,-4.01225,131.8696,131.404
65,2013,Q1,Exports,0.56408,-3.52384,133.3286,133.404
66,2013,Q2,Imports,2.10459,4.79082,138.1872,133.18
67,2013,Q2,Exports,1.40432,4.84958,139.7945,134.581
68,2013,Q3,Imports,2.99129,0.50068,138.8791,133.511
69,2013,Q3,Exports,2.7216,-0.50134,139.0936,135.312
70,2013,Q4,Imports,3.16286,2.05055,141.7269,133.722
71,2013,Q4,Exports,3.66321,2.99608,143.261,135.693
72,2014,Q1,Imports,2.83619,-4.3162,135.6097,135.239
73,2014,Q1,Exports,2.08117,-4.99621,136.1034,137.024
74,2014,Q2,Imports,1.22213,3.14608,139.8761,135.235
75,2014,Q2,Exports,2.06664,4.83466,142.6835,137.922
76,2014,Q3,Imports,2.95441,2.2206,142.9821,137.224
77,2014,Q3,Exports,3.94893,1.3336,144.5863,139.341
78,2014,Q4,Imports,4.7711,3.85129,148.4888,139.023
79,2014,Q4,Exports,3.81639,2.86475,148.7284,141.2
80,2015,Q1,Imports,4.22213,-4.81756,141.3353,141.377
81,2015,Q1,Exports,3.70942,-5.09409,141.152,141.81
82,2015,Q2,Imports,3.11394,2.04933,144.2317,139.381
83,2015,Q2,Exports,1.90294,3.00858,145.3987,140.626
84,2015,Q3,Imports,3.37724,2.48163,147.811,140.645
85,2015,Q3,Exports,0.91152,0.34773,145.9043,141.055
86,2015,Q4,Imports,2.54164,3.01186,152.2629,142.409
87,2015,Q4,Exports,1.34433,3.30594,150.7278,142.762
88,2016,Q1,Imports,0.76041,-6.47095,142.41,140.526
89,2016,Q1,Exports,0.89442,-5.51543,142.4145,142.147
90,2016,Q2,Imports,2.26961,3.57784,147.5052,141.615
91,2016,Q2,Exports,2.86255,5.01795,149.5608,143.814
92,2016,Q3,Imports,0.22558,0.43336,148.1444,142.88
93,2016,Q3,Exports,1.10743,-1.36448,147.5201,143.955
94,2016,Q4,Imports,0.85348,3.65721,153.5624,144.686
95,2016,Q4,Exports,1.52276,3.7303,153.023,145.722
96,2017,Q1,Imports,5.16286,-2.47454,149.7624,146.764
97,2017,Q1,Exports,5.08161,-2.2033,149.6515,148.547
98,2017,Q2,Imports,4.61754,3.04074,154.3163,149.375
99,2017,Q2,Exports,4.14304,4.07995,155.7572,151.331
100,2017,Q3,Imports,5.00816,0.80836,155.5637,150.477
101,2017,Q3,Exports,5.2601,-0.3065,155.2798,152.038
102,2017,Q4,Imports,5.46674,4.10989,161.9572,152.459
103,2017,Q4,Exports,5.19424,3.66541,160.9714,154.018
104,2018,Q1,Imports,4.46719,-3.39882,156.4526,153.845
105,2018,Q1,Exports,4.13782,-3.18543,155.8438,155.117
106,2018,Q2,Imports,3.72936,2.31297,160.0713,155.182
107,2018,Q2,Exports,3.42025,3.36277,161.0844,156.651
108,2018,Q3,Imports,4.00374,1.07502,161.7921,156.39
109,2018,Q3,Exports,3.1128,-0.60287,160.1133,157.084
110,2018,Q4,Imports,2.10782,2.21203,165.371,154.471
111,2018,Q4,Exports,2.37918,2.92785,164.8012,156.719
112,2019,Q1,Imports,0.63314,-4.79398,157.4432,155.439
113,2019,Q1,Exports,0.67175,-4.80005,156.8907,157.355
114,2019,Q2,Imports,0.36791,2.04332,160.6602,156.234
115,2019,Q2,Exports,-0.16092,2.50784,160.8252,157.057
116,2019,Q3,Imports,0.59771,1.30644,162.7592,155.76
117,2019,Q3,Exports,0.88731,0.44071,161.534,156.967
118,2019,Q4,Imports,-0.24848,1.35226,164.9601,153.218
119,2019,Q4,Exports,0.2927,2.32122,165.2836,155.688
120,2020,Q1,Imports,-2.34709,-6.79696,153.7478,150.43
121,2020,Q1,Exports,-2.83838,-7.77214,152.4375,152.237
122,2020,Q2,Imports,-14.99269,-11.17082,136.5729,133.009
123,2020,Q2,Exports,-16.21963,-11.60969,134.74,131.693
124,2020,Q3,Imports,-5.24466,12.92354,154.223,146.164
125,2020,Q3,Exports,-3.53888,15.64311,155.8175,149.821
126,2020,Q4,Imports,0.21284,7.18972,165.3112,153.442
127,2020,Q4,Exports,-0.00372,6.07115,165.2774,155.597
